SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, -0.10135935, -0.15660547, -0.99629319, 1.99293387, -1.14184022, -0.01691600, -23.59826279, -7.92327309, -19.37044907, 7.37773466, -2.91114807, -103.34056854, -0.61998361, 0.02000362, -0.06617548, -0.78156316, 0.05005935, 0.02877229, 0.00582551, 97.63400269, 311.88000488, 0.00000000, 0.00000000
1, 0.0200, 1, -0.09974951, -0.15843964, -0.98212612, 1.52787650, -2.65151882, 0.28703505, -23.62726593, -7.27019835, -20.31054306, 7.40873957, -2.96300292, -103.33908844, -0.62000400, 0.01981764, -0.06666606, -0.78151000, 0.04849377, 0.02992280, -0.00825571, 97.63400269, 311.88000488, 0.00000000, 0.00000000
1, 0.0400, 2, -0.09735406, -0.15458718, -0.98733389, 2.97360229, -1.44583011, 2.21530724, -23.36620331, -7.41217136, -19.82533455, 7.45752668, -2.92467880, -103.29828644, -0.62026209, 0.02036744, -0.06678507, -0.78128105, 0.04536276, 0.02535804, -0.00291694, 97.63400269, 311.88000488, 0.00000000, 0.00000000
1, 0.0600, 3, -0.11180007, -0.14878625, -0.99435145, 3.23509502, -1.33247304, 2.24651527, -24.00435066, -8.88868713, -19.43110275, 7.52191162, -2.95771432, -103.25824738, -0.62053365, 0.02051367, -0.06739492, -0.78100908, 0.06049195, 0.01863737, 0.00418540, 97.63400269, 311.88000488, 0.00000000, 0.00000000
1, 0.0800, 4, -0.11533951, -0.14921181, -0.99930573, 4.49588299, -1.49281275, 0.94217443, -23.19216728, -7.27019835, -19.70402908, 7.61101627, -2.99106026, -103.24544525, -0.62061518, 0.02077592, -0.06817966, -0.78086919, 0.06346890, 0.01773466, 0.00934459, 97.63400269, 311.88000488, 0.00000000, 0.00000000
1, 0.1000, 5, -0.11501732, -0.15169284, -0.99330866, 5.13322783, -2.60784745, -0.61528409, -23.71428490, -8.71831989, -19.85565758, 7.70500660, -2.97814631, -103.26473999, -0.62046236, 0.02136161, -0.06875408, -0.78092444, 0.06302301, 0.01867434, 0.00356004, 97.63400269, 311.88000488, 0.00000000, 0.00000000
1, 0.1200, 6, -0.11022083, -0.15614770, -0.99283671, 5.34831858, -3.40078855, -1.13074458, -23.74329567, -7.95166731, -19.09751511, 7.81309032, -3.04684353, -103.29689789, -0.62024504, 0.02145778, -0.06986694, -0.78099579, 0.05777631, 0.02131601, 0.00335716, 97.63400269, 311.88000488, 0.00000000, 0.00000000
1, 0.1400, 7, -0.10864413, -0.16247837, -0.99691784, 5.76242399, -5.54428959, -0.64059329, -23.45322990, -7.27019835, -19.64337540, 7.92869568, -3.10638547, -103.32272339, -0.62006664, 0.02166055, -0.07098045, -0.78103143, 0.05456541, 0.02578755, 0.00778155, 97.63400269, 311.88000488, 0.00000000, 0.00000000
1, 0.1600, 8, -0.10754767, -0.16817899, -1.00273871, 7.78339100, -5.38490057, -0.11701801, -23.33720016, -7.72451162, -19.61305237, 8.08563614, -3.21209788, -103.33831024, -0.61996537, 0.02177725, -0.07262221, -0.78095758, 0.05242611, 0.02910888, 0.01399189, 97.63400269, 311.88000488, 0.00000000, 0.00000000
1, 0.1800, 9, -0.11172450, -0.16947180, -1.00469935, 9.63377190, -6.88011551, 1.17545927, -23.16316032, -8.15042877, -18.76393509, 8.28147125, -3.35127091, -103.33597565, -0.61999047, 0.02188685, -0.07470531, -0.78073817, 0.05451515, 0.02744063, 0.01649233, 97.63400269, 311.88000488, 0.00000000, 0.00000000
