SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1,5.98,299,0.03149557,-0.03087121,-1.00261402,4.51806307,-1.90201962,195.5554199,29.77379608,-0.90982455,-21.189991,0.46916196,-1.39960742,104.4099426,0.61274844,-0.01216008,0.00424986,-0.79017311,-0.05544629,0.02263793,0.00293479,101.6260071,-25.02638626,26.46999931,0
1,6,300,0.00956298,0.00937334,-1.00039029,0.19784449,0.86939466,211.1706696,30.52796555,-3.15299273,-20.82608032,0.36506048,-1.41213095,108.6201553,0.58331954,-0.01186682,0.00460188,-0.81214309,-0.03425547,-0.01672578,0.00072233,101.6260071,-25.02638626,26.46999931,0
1,6.02,301,0.00389466,0.00709665,-1.0086906,-1.84618402,2.03375077,200.1702118,31.16611099,-5.62331629,-20.58347702,0.22616825,-1.40327764,112.6036606,0.55475539,-0.01128293,0.00515214,-0.83192104,-0.02846729,-0.01223281,0.00900587,101.6260071,-25.02638626,26.46999931,0
1,6.04,302,0.01901666,-0.03705999,-0.99933392,2.7339561,-1.20208514,196.5947266,30.84703827,-6.64551926,-20.43184853,0.17510612,-1.43053913,116.5589829,0.52571869,-0.01142209,0.00526379,-0.85056555,-0.0439994,0.03355757,-0.0003478,101.6260071,-25.02638626,26.46999931,0
1,6.06,303,0.01478252,-0.02117868,-1.00898981,-0.85429263,0.773947,215.5037231,31.19511604,-9.22942066,-20.15891457,0.06790917,-1.42335916,120.8912888,0.49320483,-0.01109701,0.00561109,-0.86982441,-0.03966016,0.0193638,0.00930108,101.6260071,-25.02638626,26.46999931,0
1,6.08,304,0.03229481,-0.01589363,-1.00156462,2.88033152,-0.3654567,230.367157,31.80425453,-10.90469837,-19.91630936,0.0127876,-1.43107581,125.5135269,0.45773241,-0.01115394,0.00561749,-0.88900238,-0.0571118,0.01499424,0.00187312,101.6260071,-25.02638626,26.46999931,0
1,6.1,305,0.02645743,-0.01160197,-0.99870235,-0.25450382,-0.16368121,240.0475922,32.03630447,-15.05029774,-20.00728607,-0.11536678,-1.42577183,130.3319092,0.41997042,-0.01086855,0.00613908,-0.90745199,-0.05129349,0.01214546,-0.00098888,101.6260071,-25.02638626,26.46999931,0
1,6.12,306,0.02594401,0.00087876,-1.00920177,0.66973662,1.37225401,250.2565613,32.26835632,-15.53300571,-19.6433754,-0.22787461,-1.39079416,135.34198,0.37991861,-0.01047115,0.00645035,-0.92493826,-0.05029815,0.00203438,0.00950279,101.6260071,-25.02638626,26.46999931,0
1,6.14,307,0.01509735,0.02196395,-1.00577962,1.62403774,0.689852,249.0118866,31.65922165,-19.39466095,-18.94588661,-0.31616297,-1.36228883,140.3070679,0.33950686,-0.01024518,0.00663093,-0.9405244,-0.0389226,-0.01724347,0.00607473,101.6260071,-25.02638626,26.46999931,0
1,6.16,308,-0.00120638,0.05569325,-1.00712848,3.49216008,-1.96855724,229.6599579,30.84703827,-23.54026031,-18.97621727,-0.34733504,-1.37076485,144.8622894,0.30186364,-0.01048901,0.00650018,-0.95327127,-0.02261355,-0.04968743,0.00743027,101.6260071,-25.02638626,26.46999931,0
1,6.18,309,-0.00311074,0.05032985,-0.99734396,0.26810953,1.59747398,199.1680756,30.2959137,-25.84021759,-18.73361206,-0.43978512,-1.31618071,148.8084412,0.26887202,-0.0100309,0.00678416,-0.9630999,-0.02033238,-0.04379121,-0.00235965,101.6260071,-25.02638626,26.46999931,0
1,6.2,310,0.00328035,-0.01962296,-0.99737906,4.63005829,-0.34706891,178.3361054,29.28068352,-28.65127563,-18.43035507,-0.45093587,-1.28466737,152.3801575,0.23872809,-0.00994718,0.00649712,-0.97101378,-0.02621877,0.02725903,-0.00232868,101.6260071,-25.02638626,26.46999931,0
1,6.22,311,0.00612726,-0.00721742,-1.01519763,-3.75477624,3.17050672,183.7537079,28.41049004,-29.84384727,-18.40002632,-0.59954911,-1.20005071,156.0605469,0.20743467,-0.00915935,0.00728985,-0.97817886,-0.0276366,0.01667482,0.015474,101.6260071,-25.02638626,26.46999931,0
1,6.24,312,0.01483973,-0.01399689,-1.00339329,1.3031404,-0.55646253,194.3054047,26.87314034,-33.62031937,-18.67296028,-0.65456903,-1.16988695,159.9649658,0.17399518,-0.00905963,0.00740061,-0.98467702,-0.03549161,0.02502635,0.00366738,101.6260071,-25.02638626,26.46999931,0
1,6.26,313,0.0225288,-0.03157592,-1.00527096,1.88456607,4.34772635,213.0217133,25.85791016,-36.4029808,-17.45993233,-0.71315736,-1.04898393,164.2598419,0.13697582,-0.00821546,0.00741796,-0.99051261,-0.04197513,0.04338145,0.00552995,101.6260071,-25.02638626,26.46999931,0
1,6.28,314,0.04069176,-0.03134201,-1.00018156,4.87036848,0.03164555,245.9212647,22.58016968,-38.98688126,-16.82309532,-0.70515865,-0.97341871,169.2135468,0.09403807,-0.00787844,0.00692457,-0.99551338,-0.05876351,0.04392252,0.00042417,101.6260071,-25.02638626,26.46999931,0
1,6.3,315,0.04934296,-0.01056616,-1.00207269,0.37464234,-1.44984496,279.1083069,18.49024773,-43.98432159,-16.73212051,-0.785164,-0.92178386,174.8101959,0.04532712,-0.00772535,0.00720873,-0.99891633,-0.06612377,0.02384371,0.00230173,101.6260071,-25.02638626,26.46999931,0
1,6.32,316,0.01836444,0.0499797,-1.00389636,1.28278971,-1.36671472,279.7930298,15.99568272,-47.53363419,-15.94364738,-0.84419352,-0.8752926,-179.6270142,-0.003199,-0.00766203,0.00734179,-0.99993861,-0.03402755,-0.03574445,0.0041204,101.6260071,-25.02638626,26.46999931,0
1,6.34,317,0.00146436,0.05021818,-0.99774259,2.77483559,-0.75605494,250.4653931,9.29516983,-50.34469223,-16.24690437,-0.87303185,-0.81272745,-174.653656,-0.04658277,-0.00743972,0.00727931,-0.99886024,-0.01636748,-0.0354748,-0.00203765,101.6260071,-25.02638626,26.46999931,0
1,6.36,318,0.00296473,0.02780443,-1.00767434,4.05591583,2.01091075,224.3430481,5.72736406,-51.67923737,-15.76169682,-0.85842216,-0.71213901,-170.1960144,-0.08540166,-0.00683175,0.0069325,-0.99629909,-0.01616802,-0.01271845,0.00787546,101.6260071,-25.02638626,26.46999931,0
1,6.38,319,0.01435066,-0.00166855,-1.00646818,2.4842515,4.15759373,213.1332245,-0.56705719,-53.95079803,-15.2461586,-0.86208302,-0.57803506,-165.9321137,-0.1224151,-0.00592742,0.00684861,-0.99243766,-0.02558267,0.01657917,0.00664269,101.6260071,-25.02638626,26.46999931,0
1,6.4,320,0.02777751,-0.01437671,-1.00415349,4.913764,0.39161393,222.5014496,-4.39592171,-55.71125793,-14.76095104,-0.80609077,-0.50013655,-161.4587097,-0.16106285,-0.00544061,0.00623936,-0.98690951,-0.0373271,0.02908545,0.00430749,101.6260071,-25.02638626,26.46999931,0
1,6.42,321,0.02999677,-0.00549567,-1.01211023,5.17791033,0.09619528,239.9716339,-12.80782318,-57.67047882,-14.57899952,-0.74118203,-0.43319306,-156.6512604,-0.20232008,-0.00501082,0.00556921,-0.97929084,-0.0379106,0.01913965,0.01223472,101.6260071,-25.02638626,26.46999931,0
1,6.44,322,0.01642396,0.01473797,-1.00639522,1.45034862,3.4044733,242.2296448,-23.30819321,-56.08038712,-14.66997528,-0.74117386,-0.30482459,-151.8103027,-0.24350572,-0.00415507,0.00562537,-0.96987432,-0.02294226,-0.00179671,0.00650039,101.6260071,-25.02638626,26.46999931,0
1,6.46,323,0.01915612,0.01538725,-0.99072737,-0.27190539,0.97056806,240.5164185,-28.21029854,-54.77423859,-14.03313065,-0.80465037,-0.21888499,-147.0035095,-0.28396609,-0.00382555,0.00619029,-0.95880681,-0.02386042,-0.00249647,-0.00917842,101.6260071,-25.02638626,26.46999931,0
1,6.48,324,0.00242112,0.02983312,-1.02274644,-6.36053705,2.18401599,235.5145874,-38.42060852,-50.82740021,-14.0634613,-0.92400134,-0.11379103,-142.3110809,-0.32298228,-0.00354422,0.0073104,-0.94637018,-0.00529989,-0.01400723,0.02287609,101.6260071,-25.02638626,26.46999931,0
1,6.5,325,0.00529565,0.03319006,-0.99944246,5.74291229,-0.34248716,223.0207977,-43.43873978,-48.86817932,-14.45769405,-0.82563668,-0.04977502,-137.870575,-0.35941029,-0.00299496,0.00656738,-0.93315184,-0.00699862,-0.01795636,-0.00043989,101.6260071,-25.02638626,26.46999931,0
1,6.52,326,-0.00271465,0.03164498,-0.99419343,5.63724375,1.58759129,201.6482391,-52.28574371,-43.24606323,-13.48727036,-0.73788631,0.04171083,-133.8644714,-0.39181396,-0.00218813,0.00606698,-0.92002195,0.00245709,-0.0182312,-0.00571629,101.6260071,-25.02638626,26.46999931,0
1,6.54,327,0.0102279,0.001023,-1.01106858,-4.90991068,2.10808587,190.2742767,-58.72519302,-35.77830505,-14.18475914,-0.81396967,0.13776948,-130.0475006,-0.42223969,-0.00190945,0.00694652,-0.90645558,-0.00869395,0.01287048,0.0111664,101.6260071,-25.02638626,26.46999931,0
1,6.56,328,0.01844259,-0.00300165,-0.99977106,1.55314791,-0.79189175,200.913269,-61.85790634,-31.57591248,-13.88151073,-0.7766819,0.18566993,-126.0178375,-0.4538509,-0.00163235,0.00677486,-0.89105034,-0.01558469,0.01673197,-0.00013056,101.6260071,-25.02638626,26.46999931,0
1,6.58,329,0.02286313,-0.01163489,-1.00412345,0.85903692,1.01864505,209.0366364,-65.83179474,-22.46126938,-14.94290161,-0.7325533,0.27276376,-121.7947464,-0.48637778,-0.00102949,0.00674329,-0.87372196,-0.01891391,0.02498013,0.00422036,101.6260071,-25.02638626,26.46999931,0
1,6.6,330,0.05557121,-0.04109294,-1.01860404,8.72853756,1.84030211,251.2033386,-68.29734802,-17.29346466,-15.03387737,-0.52210963,0.36493412,-116.7147903,-0.52462363,0.00032089,0.00554959,-0.85131615,-0.04969341,0.05217407,0.01868315,101.6260071,-25.02638626,26.46999931,0
1,6.62,331,0.06730967,-0.03708199,-0.99194491,4.84411955,3.56193233,296.8517761,-69.3996048,-3.52212167,-15.61006832,-0.41439617,0.47471064,-110.7335053,-0.56832534,0.00135336,0.0053298,-0.82278562,-0.05986349,0.0444494,-0.00799993,101.6260071,-25.02638626,26.46999931,0
1,6.64,332,0.05205924,0.00598754,-1.01450849,-7.9619298,3.4300034,326.1755676,-67.83325195,3.86045575,-16.36820984,-0.47906926,0.59278715,-104.1863785,-0.61438268,0.00151306,0.0064767,-0.78898013,-0.04289829,0.00259909,0.01458777,101.6260071,-25.02638626,26.46999931,0
