SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.00011262, -0.01253139, -1.00228894, -0.06326570, -0.01275551, -0.05412686, -54.54824829, 0.68026829, -62.79676819, 0.29485902, 0.85717231, -135.02201843, -0.38247657, 0.00789551, 0.00048382, -0.92393136, 0.01485557, 0.00737377, 0.00241421, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.0200, 1, 0.00051594, -0.01148649, -1.00166345, -0.09375279, -0.01321085, -0.00414208, -54.43222809, -0.22835565, -62.64514542, 0.27862072, 0.87886924, -134.82528687, -0.38406226, 0.00801505, 0.00070093, -0.92327219, 0.01444293, 0.00636031, 0.00178846, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.0400, 2, -0.00003040, -0.01235802, -1.00303817, 0.09153244, -0.22940162, 0.00306831, -54.89632797, 0.48150671, -62.85742569, 0.28049988, 0.87462932, -134.82511902, -0.38406378, 0.00798719, 0.00067159, -0.92327183, 0.01533580, 0.00748566, 0.00316720, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.0600, 3, -0.00083880, -0.01201955, -1.00341916, -0.00870324, -0.31051037, 0.07016713, -55.15739059, 0.16916756, -63.19099808, 0.28082681, 0.86861813, -134.82360840, -0.38407609, 0.00793985, 0.00064891, -0.92326707, 0.01605339, 0.00713120, 0.00354686, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.0800, 4, -0.00122709, -0.01181540, -0.99868149, -0.03753646, 0.17624637, -0.00768650, -54.72229385, 0.50990200, -63.00904846, 0.26094845, 0.90441680, -134.66484070, -0.38535476, 0.00816035, 0.00094038, -0.92273194, 0.01664921, 0.00710045, -0.00118847, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.1000, 5, -0.00011540, -0.00999483, -1.00084114, 0.35088840, -0.55660504, -0.03772094, -54.31619644, 0.39632261, -63.03937912, 0.26980770, 0.89821690, -134.66560364, -0.38534835, 0.00814022, 0.00084814, -0.92273492, 0.01577706, 0.00543683, 0.00097418, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.1200, 6, -0.00083300, -0.01461303, -1.00313795, -0.15027525, -0.19582888, -0.04365107, -54.43222809, -0.59748536, -64.19174194, 0.25233409, 0.93888164, -134.50558472, -0.38663590, 0.00840733, 0.00113734, -0.92219341, 0.01648806, 0.00990283, 0.00327153, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.1400, 7, 0.00044276, -0.01379563, -1.00394726, -0.04985729, -0.14457779, -0.01299150, -54.54824829, 0.76545238, -63.52458572, 0.25156659, 0.93706566, -134.50614929, -0.38663152, 0.00839013, 0.00113735, -0.92219543, 0.01595188, 0.00939082, 0.00409142, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.1600, 8, -0.00038166, -0.01166855, -1.00282001, -0.13252240, -0.02638211, -0.01627476, -54.63527298, 0.31114039, -64.16143036, 0.24881805, 0.93731153, -134.50692749, -0.38662544, 0.00838284, 0.00116024, -0.92219800, 0.01674133, 0.00729390, 0.00296340, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.1800, 9, -0.00138452, -0.01080498, -1.00338662, -0.03248533, 0.05472016, -0.00406213, -54.66427994, 0.59508425, -62.82709885, 0.25615147, 0.90528888, -134.29890442, -0.38829976, 0.00814806, 0.00100796, -0.92149657, 0.01743955, 0.00638895, 0.00352530, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.2000, 10, -0.00073021, -0.01223164, -1.00249565, -0.09315619, 0.06377398, -0.08208299, -54.46123123, 0.90742522, -63.19099808, 0.25444710, 0.90642363, -134.30017090, -0.38828960, 0.00815142, 0.00102542, -0.92150080, 0.01655103, 0.00777502, 0.00263066, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.2200, 11, -0.00044776, -0.01327305, -1.00250876, -0.03221773, 0.04477439, -0.05409207, -54.66427994, 0.05558818, -62.85742569, 0.24333675, 0.93611342, -134.11314392, -0.38979259, 0.00835053, 0.00122901, -0.92086405, 0.01627498, 0.00884155, 0.00264375, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.2400, 12, -0.00027903, -0.01156497, -1.00355244, 0.07915197, 0.02652122, 0.04260451, -54.57725906, -0.79624701, -62.76645279, 0.24467795, 0.93676150, -134.11241150, -0.38979834, 0.00836029, 0.00122049, -0.92086148, 0.01662714, 0.00730994, 0.00369519, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.2600, 13, -0.00099363, -0.01200602, -1.00249302, 0.15129584, -0.05201976, -0.02153012, -54.43222809, -0.88143104, -62.67546082, 0.24743783, 0.93587029, -134.11315918, -0.38979214, 0.00836253, 0.00119523, -0.92086411, 0.01732957, 0.00770584, 0.00263570, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.2800, 14, -0.00046545, -0.01291214, -1.00234675, -0.01102087, -0.02457537, -0.03776312, -54.40321732, 1.04939806, -62.82709885, 0.23096848, 0.96279210, -133.93191528, -0.39124817, 0.00852059, 0.00143264, -0.92024475, 0.01706307, 0.00876398, 0.00249317, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.3000, 15, -0.00041552, -0.01284209, -1.00313222, -0.09401720, 0.12347312, -0.07932118, -54.02613068, 0.33953387, -63.00904846, 0.22906429, 0.96531665, -133.93328857, -0.39123714, 0.00853438, 0.00145645, -0.92024916, 0.01723789, 0.00880863, 0.00328180, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.3200, 16, 0.00010841, -0.01077147, -1.00256336, -0.04303683, 0.08441932, -0.00254287, -54.43222809, -1.08019269, -63.49425507, 0.23416182, 0.94107074, -133.73352051, -0.39284155, 0.00835474, 0.00134729, -0.91956735, 0.01675217, 0.00678118, 0.00271343, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.3400, 17, -0.00011924, -0.01175011, -1.00304794, -0.06306084, 0.07417106, -0.03246818, -54.08414459, -0.08638465, -63.58523178, 0.23370340, 0.94222140, -133.73428345, -0.39283529, 0.00836241, 0.00135486, -0.91956979, 0.01656097, 0.00767984, 0.00319139, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.3600, 18, -0.00063851, -0.01340776, -1.00193393, 0.13904172, 0.08712371, 0.03462216, -53.70706177, 0.16916756, -63.28197479, 0.23644698, 0.94376171, -133.73370361, -0.39283982, 0.00838417, 0.00133817, -0.91956782, 0.01709923, 0.00929763, 0.00207787, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.3800, 19, -0.00089042, -0.01248901, -1.00339031, -0.02135438, -0.00482365, -0.06644592, -54.63527298, -0.17156687, -63.40328217, 0.24727046, 0.93938732, -133.53807068, -0.39440855, 0.00838405, 0.00125063, -0.91889608, 0.01731542, 0.00825866, 0.00353410, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.4000, 20, -0.00027700, -0.01091079, -1.00254810, -0.06313528, 0.07416863, -0.00272639, -54.34520721, -0.48390785, -63.64589310, 0.24575707, 0.94103944, -133.53775024, -0.39441124, 0.00839209, 0.00126848, -0.91889495, 0.01668030, 0.00660491, 0.00269187, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.4200, 21, -0.00072903, -0.01241120, -1.00223577, 0.04778991, 0.10567366, -0.01278154, -54.02613068, 0.76545238, -63.43360901, 0.26047081, 0.88763356, -133.32637024, -0.39610690, 0.00801268, 0.00098144, -0.91816902, 0.01716923, 0.00811462, 0.00238018, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.4400, 22, -0.00109661, -0.01366639, -1.00277650, 0.03764954, 0.11547716, -0.06175247, -54.31619644, 0.50990200, -63.46393967, 0.26177427, 0.88968027, -133.32695007, -0.39610207, 0.00803359, 0.00097803, -0.91817081, 0.01660739, 0.00911889, 0.00290716, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.4600, 23, -0.00118308, -0.01262954, -1.00180221, -0.00219681, 0.05516901, 0.02526452, -53.73606491, -0.14317343, -63.10002518, 0.26275593, 0.89067066, -133.32617188, -0.39610815, 0.00804492, 0.00097364, -0.91816819, 0.01671428, 0.00806065, 0.00193327, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.4800, 24, -0.00073023, -0.01243713, -1.00262058, 0.05951969, 0.00633124, -0.08692044, -53.99712753, 0.65187299, -63.70653915, 0.27887964, 0.88305789, -133.12918091, -0.39768529, 0.00803824, 0.00083195, -0.91748637, 0.01619682, 0.00769968, 0.00275140, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.5000, 25, -0.00045040, -0.01159255, -1.00234735, -0.00277724, -0.01178024, -0.02366097, -54.25818253, -0.39872378, -63.19099808, 0.27981621, 0.88223249, -133.12940979, -0.39768335, 0.00803488, 0.00082157, -0.91748726, 0.01585490, 0.00672513, 0.00247787, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.5200, 26, -0.00108164, -0.01200364, -1.00259793, 0.00802180, -0.05500617, 0.01632594, -54.49024200, 0.16916756, -62.61481476, 0.27787077, 0.88903737, -132.93057251, -0.39927459, 0.00808111, 0.00087479, -0.91679543, 0.01646109, 0.00711498, 0.00272811, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.5400, 27, -0.00032881, -0.01223576, -1.00307190, 0.00713597, 0.00469214, 0.02900171, -54.51924515, 0.82224113, -63.43360901, 0.27738240, 0.88969105, -132.92997742, -0.39927933, 0.00808463, 0.00088102, -0.91679335, 0.01583986, 0.00739183, 0.00320388, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.5600, 28, 0.00009355, -0.01212657, -1.00252843, -0.09380632, -0.00675788, -0.01964450, -54.37421036, -0.51230133, -63.43360901, 0.27582967, 0.88963670, -132.93028259, -0.39927697, 0.00807879, 0.00089323, -0.91679430, 0.01543228, 0.00730011, 0.00266049, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.5800, 29, -0.00025617, -0.01316130, -1.00283897, -0.10524365, 0.08263956, -0.00544942, -54.51924515, 0.48150671, -62.91807175, 0.28623462, 0.86497587, -132.72488403, -0.40092006, 0.00791643, 0.00073824, -0.91607857, 0.01553966, 0.00823925, 0.00296800, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.6000, 30, 0.00000831, -0.01209208, -1.00175917, -0.02375682, 0.03408718, 0.07045346, -54.46123123, 0.93581867, -63.49425507, 0.28561884, 0.86558855, -132.72309875, -0.40093437, 0.00791916, 0.00074543, -0.91607231, 0.01508625, 0.00710389, 0.00188552, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.6200, 31, -0.00036522, -0.01162664, -1.00313401, -0.01843556, -0.06846130, 0.01569848, -54.46123123, 1.10618687, -62.91807175, 0.26577884, 0.89467049, -132.53669739, -0.40242404, 0.00808059, 0.00101894, -0.91541725, 0.01545863, 0.00665198, 0.00326030, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.6400, 32, -0.00043023, -0.01203927, -1.00179386, 0.07252926, -0.06711154, 0.06402273, -54.28719330, 0.28274509, -62.82709885, 0.26755330, 0.89335161, -132.53540039, -0.40243429, 0.00807627, 0.00100022, -0.91541272, 0.01603111, 0.00738159, 0.00192638, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.6600, 33, -0.00060867, -0.01229186, -1.00289810, 0.00257902, -0.10795338, -0.06573095, -54.20017624, -1.08019269, -63.10002518, 0.26735047, 0.89184082, -132.53651428, -0.40242547, 0.00806350, 0.00099646, -0.91541672, 0.01617990, 0.00762209, 0.00303028, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.6800, 34, -0.00039868, -0.01237463, -1.00307369, -0.01049190, 0.08093613, 0.03237861, -54.22917938, 0.39632261, -63.34263611, 0.27894500, 0.84291977, -132.32695007, -0.40410027, 0.00771206, 0.00074612, -0.91468185, 0.01547464, 0.00759161, 0.00319895, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.7000, 35, -0.00002834, -0.01202963, -1.00221264, -0.12090673, 0.02953869, -0.04771224, -54.72229385, 0.42471793, -63.34263611, 0.27711859, 0.84364861, -132.32792664, -0.40409264, 0.00771145, 0.00076321, -0.91468525, 0.01474646, 0.00718290, 0.00233276, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.7200, 36, 0.00006263, -0.01299508, -1.00175321, -0.13868263, 0.05571095, -0.07816084, -54.89632797, 0.08398349, -63.28197479, 0.27684864, 0.85050088, -132.13435364, -0.40563688, 0.00776385, 0.00080265, -0.91400099, 0.01468052, 0.00818969, 0.00187342, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.7400, 37, -0.00032769, -0.01195225, -1.00256157, -0.03817086, 0.09701055, -0.02813371, -54.69328308, 0.16916756, -63.13035583, 0.27631378, 0.85207295, -132.13464355, -0.40563452, 0.00777449, 0.00081246, -0.91400188, 0.01519330, 0.00713035, 0.00268358, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.7600, 38, -0.00083500, -0.01196032, -1.00221264, 0.14502540, 0.01016056, 0.07428603, -54.11315155, 0.87902987, -63.13035583, 0.27901131, 0.85211647, -132.13316345, -0.40564618, 0.00778438, 0.00079120, -0.91399676, 0.01571124, 0.00710537, 0.00233506, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.7800, 39, 0.00026796, -0.01224007, -1.00287914, 0.03369454, 0.00850588, 0.07580814, -54.31619644, -0.08638465, -63.00904846, 0.27417502, 0.87235487, -131.94071960, -0.40717995, 0.00792716, 0.00091473, -0.91331321, 0.01481545, 0.00742425, 0.00300444, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.8000, 40, -0.00099063, -0.01326057, -1.00229943, -0.01565768, -0.06188709, -0.02586141, -53.99712753, -0.05798935, -63.03937912, 0.27402729, 0.87166846, -131.94096375, -0.40717801, 0.00792116, 0.00091345, -0.91331410, 0.01620301, 0.00847732, 0.00242655, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.8200, 41, -0.00035959, -0.01305379, -1.00222623, 0.03867850, -0.04925959, -0.06850255, -54.78030777, 1.02100277, -62.91807175, 0.28775483, 0.84490925, -131.73640442, -0.40880805, 0.00775539, 0.00072280, -0.91258723, 0.01556211, 0.00826869, 0.00235318, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.8400, 42, -0.00010024, -0.01150332, -1.00245059, -0.02161137, -0.03989354, -0.04784315, -55.04136276, -0.48390785, -63.34263611, 0.28768787, 0.84427041, -131.73724365, -0.40880144, 0.00775007, 0.00072099, -0.91259027, 0.01483752, 0.00648327, 0.00257187, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.8600, 43, -0.00081618, -0.01226059, -1.00198936, -0.08245598, -0.03084543, -0.05646650, -54.05514145, 0.08398349, -63.25165939, 0.28638139, 0.84361315, -131.73805237, -0.40879509, 0.00774018, 0.00072900, -0.91259319, 0.01554603, 0.00725777, 0.00211034, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.8800, 44, -0.00062636, -0.01205085, -1.00280774, 0.01814966, 0.00050269, 0.01292817, -54.37421036, 0.33953387, -63.31230545, 0.29876328, 0.81759918, -131.53906250, -0.41037950, 0.00757624, 0.00055074, -0.91188318, 0.01509444, 0.00693469, 0.00292547, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.9000, 45, -0.00088754, -0.01230348, -1.00239182, 0.01899673, -0.03928777, -0.09796624, -54.89632797, 0.28274509, -63.00904846, 0.29903790, 0.81731755, -131.54058838, -0.41036743, 0.00757499, 0.00054744, -0.91188872, 0.01514793, 0.00708520, 0.00250718, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.9200, 46, -0.00050383, -0.01237504, -1.00305641, 0.07237747, -0.01548576, 0.01915852, -54.63527298, 1.30494845, -63.31230545, 0.28858203, 0.85200518, -131.35948181, -0.41180721, 0.00781237, 0.00076723, -0.91123718, 0.01476623, 0.00714615, 0.00317171, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.9400, 47, 0.00021495, -0.01235718, -1.00307286, -0.10303648, 0.03291221, -0.00273690, -54.63527298, 1.19136906, -63.10002518, 0.28672710, 0.85212088, -131.35986328, -0.41180432, 0.00780663, 0.00078237, -0.91123861, 0.01466577, 0.00733825, 0.00319621, 97.80700684, 297.05014038, 0.00000000, 0.00000000
1, 0.9600, 48, -0.00021770, -0.01208834, -1.00116515, 0.00898713, -0.01518321, 0.00335340, -54.43222809, 1.21976435, -63.40328217, 0.28682852, 0.85243583, -131.35939026, -0.41180798, 0.00780949, 0.00078272, -0.91123688, 0.01509719, 0.00708487, 0.00128845, 97.80700684, 297.05014038, 0.00000000, 0.00000000
